ID;Название;Регион;Город;Адрес;Индекс;Телефон;Мобильный телефон;Email;Сайт;Рубрика;Подрубрика;Время работы;Способы оплаты;whatsapp;viber;telegram;vkontakte;odnoklassniki;youtube;Факс;rutube;yandex zen;Кол-во оценок;Рейтинг;Кол-во отзывов;Широта;Долгота;Тип заведения;site_ok;site_final_url;site_cms;site_platform;site_has_own_delivery;site_delivery_signals;site_developer;site_emails;site_whatsapp;site_telegram;vk_ok;vk_members;vk_last_post_days;vk_has_delivery;vk_email;vk_phone;app_ios_found;app_ios_name;app_ios_url;app_ios_developer;app_ios_platform;app_ios_rating;app_ios_reviews;app_ios_updated;app_ios_bundle_id;app_android_found;app_android_name;app_android_id;app_android_url;app_android_developer;app_android_platform;app_android_rating;app_android_reviews;lead_score;lead_segment;lead_label;lead_priority;lead_contact_quality;enriched_at
40365666641;Romano;Москва и Московская область;Москва и Московская область;Романовская ул., 15, д. Глухово;;;+7 (994) 222-44-24;;;Отдых и туризм / Кафе;Кафе, Кофейни;ежедневно, 09:00–23:00;;;;;;;;;;;114;4.1;58;55.768162;37.241265;Отдых и туризм/Кафе/Кафе;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
178767129284;Узбечка;Москва и Московская область;Москва и Московская область;Западная ул., с4, рабочий посёлок Новоивановское;143026;;+7 (925) 808-63-78;;;Отдых и туризм / Кафе;Кафе, Рестораны;ежедневно, 08:00–01:00;оплата картой, наличными;;;;;;;;;;1524;5.0;596;55.707958;37.359443;Отдых и туризм/Кафе/Кафе;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
235904783566;Coffeeshop Company;Москва и Московская область;Москва и Московская область;Шереметьевское ш., вл37, Химки;141426;;;;http://coffeeshopcompany.ru/, http://www.aeropit.ru/places/kofeynya-coffeeshop-company/;Отдых и туризм / Кафе;Кафе, Кофейни;ежедневно, круглосуточно;;;;;;;;;;;188;3.5;126;55.981142;37.41232;Отдых и туризм/Кафе/Кафе;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
198012298653;Москва;Москва и Московская область;Москва и Московская область;Тупиковая ул., 5Л, посёлок Шишовка;;;;;;Отдых и туризм / Кафе;Кафе;;;;;;;;;;;;11;3.0;1;56.061786;37.091456;Отдых и туризм/Кафе/Кафе;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
82469184981;Dolce Latte;Москва и Московская область;Москва и Московская область;Московская область, городской округ Домодедово, аэропорт Домодедово имени М.В. Ломоносова, 1;;;;;;Отдых и туризм / Кафе;Кофейни;;;;;;;;;;;;10;1.7;10;55.41346;37.904105;Отдых и туризм/Кафе/Кофейня;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
29332116574;Coffee With Rabbit;Москва и Московская область;Москва и Московская область;Московская область, Рузский муниципальный округ, посёлок городского типа Тучково, Комсомольская улица;;;+7 (915) 150-08-91;;https://digital-menu-ru.2men.us/VR2/EPK/index.html;Отдых и туризм / Кафе;Кофейни;ежедневно, 08:00–20:00;банковским переводом, оплата картой, наличными;;;https://t.me/CoffeeWithRabbit;;;;;;;13;4.5;12;55.601191;36.4646;Отдых и туризм/Кафе/Кофейня;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; mobile";2026-04-13 07:36
197526732964;Coffee ToGo;Москва и Московская область;Москва и Московская область;д. Шихово, 100, стр. 1;;;+7 (901) 361-34-42;;;Отдых и туризм / Кафе;Кофейни;"""пн 12:00–19:00";вт 10:00–18:30;ср 10:00–19:00;чт 10:00–18:30;пт 12:00–19:00;"сб,вс 09:00–19:00""";;;;https://t.me/coffee_TOG0;https://vk.com/vk.coffetogo;;;;;;47;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; whatsapp; mobile";2026-04-13 07:36
230957286759;Coffee Point;Москва и Московская область;Москва и Московская область;Московская область, городской округ Домодедово, аэропорт Домодедово имени М.В. Ломоносова, 1;142015;;;;;Отдых и туризм / Кафе;Кофейни;;;;;;;;;;;;14;4.0;13;55.414854;37.90116;Отдых и туризм/Кафе/Кофейня;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
30466682717;Оффис;Москва и Московская область;Москва и Московская область;ул. Михаила Марченко, 9, рабочий посёлок Свердловский;141140;;+7 (925) 866-56-19, +7 (926) 911-84-81, +7 (926) 988-03-34;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Кофе с собой, Кофейни;ежедневно, 10:00–22:00;наличными, безналичная;79254761500;https://viber.click/89269880334;;;;;;;;171;4.6;92;55.894968;38.134929;Отдых и туризм/Кафе/Кофейня;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:36
96833335443;Пицца и Пламя;Москва и Московская область;Москва и Московская область;Перспективная ул., с1, д. Васькино;142326;;+7 (993) 924-91-31;;;Отдых и туризм / Кафе;Кафе, Пиццерии;"""пн-чт 11:00–21:00";пт,сб 11:00–22:00;"вс 11:00–21:00""";оплата кредитной картой, СБП, оплата картой, QR-код, наличными;;;;;;;;;;87;5.0;77;55.12937;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:36
89484325160;Пиццерия;Москва и Московская область;Москва и Московская область;село Константиновское, территория Промышленная Зона Михнево М4, 91;;;+7 (925) 720-93-90;;;Отдых и туризм / Кафе, Отдых и туризм / Развлечения;Караоке-клубы, Кафе, Пиццерии;ежедневно, 11:00–21:00;наличными, оплата картой;;;;;;;;;;226;4.8;114;55.152792;37.955483;Отдых и туризм/Кафе/Пиццерия;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
92284154008;Federal Burger;Москва и Московская область;Москва и Московская область;бул. Радости, 2А, село Озерецкое;141895;;+7 (925) 681-22-21;;http://www.federalburger.ru/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Кафе, Пиццерии;"""пн,вт 10:00–20:00";ср 10:00–18:30;сб 11:00–20:00;"вс 10:00–20:00""";безналичная, банковским переводом, оплата картой, наличными;79256812221;;https://t.me/+79256812221, https://t.me/FEDERAL_BURGER;;;;;;;82;5.0;68;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; whatsapp; mobile";2026-04-13 07:36
95553701232;Отши Streetfood;Москва и Московская область;Москва и Московская область;посёлок Электроизолятор, 81;;;+7 (968) 800-13-03;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Кофе с собой, Пиццерии;ежедневно, 11:00–23:00;;;;;;;;;;;16;4.7;14;55.586904;38.500823;Отдых и туризм/Кафе/Пиццерия;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
96668231043;Caramanico;Москва и Московская область;Москва и Московская область;Вокзальная ул., 8А, п. г. т. Селятино;143345;;+7 (903) 171-14-08;;https://pizzacaramanico.ru/;Отдых и туризм / Кафе;Кафе, Пиццерии;ежедневно, 12:00–21:30;наличными, оплата картой;79031711408;;;;;;;;;175;5.0;96;55.515394;36.970826;Отдых и туризм/Кафе/Пиццерия;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:36
145415117424;Шашлычный дом № 1;Москва и Московская область;Москва и Московская область;Центральная ул., 39, д. Гольёво;;;+7 (916) 118-65-35;;https://shashlachnidom1.tb.ru/shashlichniidom1;Отдых и туризм / Кафе;Кафе, Кофейни, Рестораны;ежедневно, 11:00–23:00;СБП, QR-код, наличными, оплата картой;79161186535;;;;;;;;;86;5.0;66;55.800155;37.310959;Отдых и туризм/Кафе/Ресторан;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:36
176063776606;Франклинс Бургер;Москва и Московская область;Москва и Московская область;п. г. т. Ржавки, 2-й микрорайон, с20;;+7 (499) 150-70-80;;;http://franklins.ru/;Отдых и туризм / Кафе;Рестораны;ежедневно, 10:00–22:00;;;;;https://vk.com/franklinsburgerrussia;;;;;;428;4.9;256;55.999359;37.258887;Отдых и туризм/Кафе/Ресторан;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
232124460675;Лепим Хинкали Жарим Шашлык!;Москва и Московская область;Москва и Московская область;Осташковское ш., 49, д. Бородино;;;;;;Отдых и туризм / Кафе, Услуги / Доставка еды и напитков;Доставка еды, Кафе, Рестораны;;;;;;;;;;;;0;0.0;0;55.923544;37.663216;Отдых и туризм/Кафе/Ресторан;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
93703871246;Хинкалимания;Москва и Московская область;Москва и Московская область;МКАД, 24-й километр, 1, Москва;142715;;+7 (906) 016-72-40;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Рестораны;ежедневно, 10:00–22:00;;;;;;;;;;;48;1.6;39;55.5873;37.723586;Отдых и туризм/Кафе/Ресторан;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
94080749419;Аэробистро Москва;Москва и Московская область;Москва и Московская область;Шереметьевское ш., вл37, Химки;141426;;+7 (968) 628-49-40;;https://aerobistro-moskva.clients.site/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Кофейни, Рестораны;ежедневно, круглосуточно;безналичная, онлайн, QR-код, СБП, оплата кредитной картой;;;;;;;;;;1026;5.0;889;55.981377;37.411944;Отдых и туризм/Кафе/Ресторан;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:37
94668416556;Kaifa;Москва и Московская область;Москва и Московская область;Кленовая ул., 1, п. г. т. ВНИИССОК;143080;;+7 (968) 437-43-26;;https://dostavkakaifa.ru/?utm_campaign=odincovo&utm_medium=profile&utm_source=geo_yandex;Отдых и туризм / Кафе, Товары для дома и дачи / Продукты питания;Магазины суши и роллов, Суши-бары;ежедневно, 10:00–22:00;онлайн, безналичная, наличными, оплата картой;;;https://t.me/dostavkakaifa;https://vk.com/dostavkakaifa_odintsovo;;https://www.youtube.com/@Seleznyovds;;;;46;4.3;28;55.659371;37.19927;Отдых и туризм/Кафе/Суши-бар;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; mobile";2026-04-13 07:37
68443155137;Пицца&Суши Лофт;Москва и Московская область;Москва и Московская область;ул. Юности, 2, жилой комплекс Шолохово, д. Шолохово;;;+7 (926) 120-16-20;;http://loftpizza.ru/;Отдых и туризм / Кафе;Кафе, Пиццерии, Суши-бары;"""пн-чт 10:00–22:00";пт,сб 10:00–23:00;"вс 10:00–22:00""";наличными, оплата картой;79261201620;;;;;;;;;511;4.9;266;56.047988;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; whatsapp; mobile";2026-04-13 07:37
77418256303;Pizza & Grill;Москва и Московская область;Москва и Московская область;Полевая ул., 12А, д. Грибаново;;;+7 (967) 012-08-08;mypizzagrill@yandex.ru;http://mypizzagrill.ru/;Отдых и туризм / Кафе;Пиццерии, Рестораны, Суши-бары;ежедневно, 10:00–22:00;наличными, оплата картой;79670120808;;;;;;;;;1115;4.9;447;55.7459;37.119868;Отдых и туризм/Кафе/Суши-бар;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"email; whatsapp; mobile";2026-04-13 07:37
78894180931;ДКвкус;Москва и Московская область;Москва и Московская область;Северная ул., 42, д. Сабурово;;+7 (495) 649-69-19;+7 (995) 757-59-31;dk-vkus@mail.ru;https://dkvkus.ru/;Отдых и туризм / Кафе, Товары для дома и дачи / Продукты питания;Кулинарии, Пиццерии, Суши-бары;"""пн-пт 08:00–23:00";"сб,вс 09:00–23:00""";дисконтная система скидок, наличными, оплата картой, банковским переводом, безналичная, онлайн;79957575931;https://viber.click/79957575931;https://t.me/dkvkussaburovo;https://vk.com/dkvkussaburuvo;;;;;;732;5.0;424;55.887099;37.265046;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"email; telegram; whatsapp; mobile";2026-04-13 07:37
91364503968;Суши Love;Москва и Московская область;Москва и Московская область;д. Коробово, 25;142034;;+7 (967) 726-62-66;;https://korobovo.sushi-love.ru/, https://sushi-love.ru/magaziny/;Отдых и туризм / Кафе, Товары для дома и дачи / Продукты питания;Магазины суши и роллов, Суши-бары;ежедневно, 10:00–22:00;;;;;;;;;;;0;0.0;0;55.536588;37.82396;Отдых и туризм/Кафе/Суши-бар;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:37
25889038652;Кофе с собой;Москва и Московская область;Москва и Московская область;Московская область, городской округ Красногорск, Новорижское шоссе, 27-й километр, с1;;;+7 (916) 994-19-99;;https://kofe-s-soboj-novorizhskoe-shosse-27-j-kilometr.clients.site/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание, Услуги / Доставка еды и напитков;Кофе с собой, Кофейные автоматы, Чай с собой;ежедневно, 10:00–20:00;оплата картой;79169941999;;;;;;;;;10;4.5;9;55.776831;37.226096;Отдых и туризм/Кафе/Чай с собой;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:37
50189445943;M Tea;Москва и Московская область;Москва и Московская область;Алтуфьевское шоссе, 1-й километр, 3, стр. 1, Москва;;;;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Безалкогольные бары, Кафе, Чай с собой;ежедневно, 10:00–22:00;;;;;;;;;;;0;0.0;1;55.912891;37.586496;Отдых и туризм/Кафе/Чай с собой;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:37
168128487048;Чебурек и Пончик;Москва и Московская область;Москва и Московская область;Молодёжная ул., 8Б, корп. 2, микрорайон Аксёновское Поле, п. г. т. Фряново;;;+7 (916) 302-93-18;;https://cheburek-i-ponchik-1759316085.clients.site/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Быстрое питание, Кофе с собой, Чай с собой;ежедневно, 10:00–18:00;наличными, оплата картой;;;;;;;;;;39;4.6;15;56.118129;38.417594;Отдых и туризм/Кафе/Чай с собой;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:37
236986574495;КофеБит;Москва и Московская область;Москва и Московская область;Кооперативная ул., 9, село Новопетровское;143570;;+7 (910) 453-33-03, +7 (926) 283-50-74;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Кофе с собой, Кофейни, Чай с собой;"""пн-пт 07:00–20:00";сб 08:00–20:00;"вс 08:00–19:00""";оплата кредитной картой, СБП, оплата картой, QR-код, наличными;79104533303;;https://t.me/+79262835074;https://vk.com/club233380678;;;;;;147;5.0;129;55.995727;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; whatsapp; mobile";2026-04-13 07:37
104685487429;Кофе с собой;Москва и Московская область;Москва и Московская область;Октябрьская ул., 2, посёлок Летний Отдых;143022;;;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Кофе с собой, Чай с собой;ежедневно, 08:00–21:00;наличными, оплата картой, QR-код, СБП, оплата кредитной картой;;;;;;;;;;46;5.0;42;55.639282;36.971733;Отдых и туризм/Кафе/Чай с собой;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:37
100601001240;Чайный Пьяница;Москва и Московская область;Москва и Московская область;посёлок санатория Подмосковье, территория Генеральские Дачи, 15А;142072;;+7 (989) 599-08-34;;https://chp-1754318442.clients.site/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Кальян-бары, Кафе, Кофе с собой;"""пн-чт 08:00–22:00";"пт-вс 08:00–23:00""";банковским переводом, наличными, QR-код, оплата картой;;;https://t.me/teeadrinkerrr;;;;;;;26;4.9;21;55.377439;37.765866;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:37
70896391525;КФХ Сосновый берег;Москва и Московская область;Москва и Московская область;д. Малое Страшево, 130;;;+7 (929) 666-44-88;;;Отдых и туризм / Кафе, Производство и поставки / Агропром, Товары для дома и дачи / Продукты питания;Кальян-бары, Пекарни, Сельскохозпродукция;ежедневно, круглосуточно;безналичная, СБП, наличными;;;;;;;;;;0;0.0;0;56.681023;37.4341;Отдых и туризм/Кафе/Чайная;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:37
149136141583;Mani Bubble Tea;Москва и Московская область;Москва и Московская область;МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина;142715;;+7 (999) 997-23-69;;https://bubble-tea-mani.clients.site/;Отдых и туризм / Кафе;Кальян-бары, Кафе, Кофейни;ежедневно, 10:00–22:00;оплата картой;79099980909;;https://t.me/manibubbletea;;;;;;;172;5.0;165;55.584648;37.723733;Отдых и туризм/Кафе/Чайная;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; whatsapp; mobile";2026-04-13 07:37
219928241844;Mettea 茶无双;Москва и Московская область;Москва и Московская область;п. г. т. Ржавки, 2-й микрорайон, с20;;;+7 (914) 523-98-29;;;Отдых и туризм / Кафе;Кальян-бары, Кафе;ежедневно, 10:00–22:00;оплата картой, наличными;;;https://t.me/metteazelenograd;;;;;;;92;5.0;80;55.998786;37.258686;Отдых и туризм/Кафе/Чайная;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; mobile";2026-04-13 07:37
56769017055;MioTea;Москва и Московская область;Москва и Московская область;п. г. т. Ржавки, 2-й микрорайон, с20;;;+7 (904) 421-75-33;;;Отдых и туризм / Кафе;Кальян-бары, Кофейни;ежедневно, 10:00–22:00;;;;https://t.me/MioTeaa;https://vk.com/miotea;;;;;;63;4.9;51;55.999748;37.255294;Отдых и туризм/Кафе/Чайная;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"telegram; mobile";2026-04-13 07:37
190007867076;Квас лимонад;Москва и Московская область;Москва и Московская область;Московская область, 46К-7230;;;;;;Отдых и туризм / Общественное питание;Безалкогольные бары;;;;;;;;;;;;0;0.0;0;55.90517;38.494114;Отдых и туризм/Общественное питание/Бар безалкогольных напитков;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:37
206711611333;Фудтрак Наш Лаваш;Москва и Московская область;Москва и Московская область;Московская область, городской округ Мытищи;;;;;;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание;Бары, пабы, Безалкогольные бары, Кафе;"""пн-пт 10:00–21:00";"сб,вс 10:00–22:00""";;79163974379;;;;;;;;;3;4.0;1;55.986767;37.710476;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:37
218810562484;Свежевыжатый гранатный СОК;Москва и Московская область;Москва и Московская область;посёлок Вешки, торгово-промышленная зона Алтуфьево, вл3с1;;;;;;Отдых и туризм / Общественное питание;Безалкогольные бары;ежедневно, 09:00–22:00;;;;;;;;;;;0;0.0;0;55.912639;37.570767;Отдых и туризм/Общественное питание/Бар безалкогольных напитков;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:37
43120535818;Gelateria Plombir;Москва и Московская область;Москва и Московская область;Пятницкое ш., 1, стр. 1, п. г. т. Отрадное;;8 (800) 775-42-83;;plombir@gelateria-best.ru, ralavada@gmail.com;https://gelateria-best.ru/;Отдых и туризм / Кафе, Отдых и туризм / Общественное питание, Товары для дома и дачи / Продукты питания;Безалкогольные бары, Кафе, Мороженое;ежедневно, 10:00–22:00;;;;;https://vk.com/club110654748;;http://youtube.com/channel/UClT_IiujE8P3ahelMWMAcIg;;;;34;3.7;16;55.876542;37.330905;Отдых и туризм/Общественное питание/Бар безалкогольных напитков;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;email;2026-04-13 07:37
172125444615;Berry Fruit Vitamin&Fresh Bar;Москва и Московская область;Москва и Московская область;посёлок Горки-2, 22В;;;+7 (985) 773-98-94;;http://berryfruit.ru/;Отдых и туризм / Общественное питание;Безалкогольные бары;ежедневно, 09:00–21:00;;;;;;;;;;;0;0.0;1;55.724455;37.174429;Отдых и туризм/Общественное питание/Бар безалкогольных напитков;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:37
